Период,Контрагент,ТМ,Стоимость,Валовый Доход,Тип,Количество
2022-11-06,Ламода,Thomas Munz,3186381.1382188983,2017883.6718216815,План,0
2022-11-06,Ламода,ПТМ,369880.1105669352,225626.8674458305,План,0
2022-11-06,Ламода,Salamander,1010351.3519944774,633523.134504668,План,0
2022-11-07,Ламода,Thomas Munz,3021271.589983133,1913322.4636690877,План,0
2022-11-07,Ламода,ПТМ,350713.9357410202,213935.5008020223,План,0
2022-11-07,Ламода,Salamander,957997.7106531124,600695.6998703289,План,0
2022-11-08,Ламода,Thomas Munz,3532443.1456206306,2237039.1475423696,План,0
2022-11-08,Ламода,ПТМ,410051.5301204409,250131.43337346893,План,0
2022-11-08,Ламода,Salamander,1120082.172597974,702327.925316564,План,0
2022-11-09,Ламода,Thomas Munz,3388570.8390645757,2145927.1412777747,План,0
2022-11-09,Ламода,ПТМ,393350.6075540276,239943.87060795684,План,0
2022-11-09,Ламода,Salamander,1074462.5266303457,673722.9246389751,План,0
2022-11-10,Ламода,Thomas Munz,3157197.9737544633,1999402.4454678916,План,0
2022-11-10,Ламода,ПТМ,366492.48315183196,223560.41472261748,План,0
2022-11-10,Ламода,Salamander,1001097.8294580616,627720.8751313249,План,0
2022-11-11,Ламода,Thomas Munz,6648310.592891562,4210267.638633437,План,0
2022-11-11,Ламода,ПТМ,771746.3010582018,470765.24364550307,План,0
2022-11-11,Ламода,Salamander,2108074.742044792,1321831.3764948926,План,0
2022-11-12,Ламода,Thomas Munz,7249514.016949137,4591000.049548721,План,0
2022-11-12,Ламода,ПТМ,841534.9356620132,513336.3107538281,План,0
2022-11-12,Ламода,Salamander,2298706.8936836934,1441363.9311900893,План,0
2022-11-13,Ламода,Thomas Munz,7171167.278621372,4541384.326521797,План,0
2022-11-13,Ламода,ПТМ,832440.3236309395,507788.5974148731,План,0
2022-11-13,Ламода,Salamander,2273864.374989253,1425786.8645773467,План,0
2022-11-14,Ламода,Thomas Munz,3399788.5102386316,2153031.1111156843,План,0
2022-11-14,Ламода,ПТМ,394652.7723843412,240738.19115444814,План,0
2022-11-14,Ламода,Salamander,1078019.4737579178,675953.2460901004,План,0
2022-11-15,Ламода,Thomas Munz,3094977.824854219,1959999.430863588,План,0
2022-11-15,Ламода,ПТМ,359269.87086648,219154.6212285528,План,0
2022-11-15,Ламода,Salamander,981368.798674946,615350.1316292894,План,0
2022-11-16,Ламода,Thomas Munz,2968922.9727177722,1880170.9304908374,План,0
2022-11-16,Ламода,ПТМ,344637.2263009934,210228.708043606,План,0
2022-11-16,Ламода,Salamander,941398.7873182023,590287.6354680036,План,0
2022-11-17,Ламода,Thomas Munz,2766203.8183286735,1751792.1666635082,План,0
2022-11-17,Ламода,ПТМ,321105.2695177606,195874.21440583395,План,0
2022-11-17,Ламода,Salamander,877119.7312895532,549982.5782442137,План,0
2022-11-18,Ламода,Thomas Munz,2912484.788785983,1844429.5408443732,План,0
2022-11-18,Ламода,ПТМ,338085.7935604155,206232.33407185346,План,0
2022-11-18,Ламода,Salamander,923503.1267032044,579066.4746466073,План,0
2022-11-19,Ламода,Thomas Munz,3175859.341323573,2011220.3879167407,План,0
2022-11-19,Ламода,ПТМ,368658.72391223605,224881.82158646398,План,0
2022-11-19,Ламода,Salamander,1007015.0556578297,631431.1682706869,План,0
2022-11-20,Ламода,Thomas Munz,3141537.2860521805,1989484.7850772706,План,0
2022-11-20,Ламода,ПТМ,364674.56600771006,222451.48526470314,План,0
2022-11-20,Ламода,Salamander,996132.0716573455,624607.1836012542,План,0
2022-11-21,Ламода,Thomas Munz,2978751.4234808795,1886395.129497132,План,0
2022-11-21,Ламода,ПТМ,345778.128251283,210924.65823328262,План,0
2022-11-21,Ламода,Salamander,944515.2344994291,592241.7491363544,План,0
2022-11-22,Ламода,Thomas Munz,2892041.1535564675,1831482.9170938393,План,0
2022-11-22,Ламода,ПТМ,335712.6643799842,204784.72527179035,План,0
2022-11-22,Ламода,Salamander,917020.771455091,575001.8272270233,План,0
2022-11-23,Ламода,Thomas Munz,2774251.6763406643,1756888.7450610986,План,0
2022-11-23,Ламода,ПТМ,322039.47747411515,196444.08125921024,План,0
2022-11-23,Ламода,Salamander,879671.580509832,551582.670641401,План,0
2022-11-24,Ламода,Thomas Munz,3101789.6997468974,1964313.2811295078,План,0
2022-11-24,Ламода,ПТМ,360060.60396750516,219636.96842017816,План,0
2022-11-24,Ламода,Salamander,983528.7370843485,616704.4832108065,План,0
2022-11-25,Ламода,Thomas Munz,3265816.9505326357,2068189.0878006944,План,0
2022-11-25,Ламода,ПТМ,379101.144011165,231251.69784681065,План,0
2022-11-25,Ламода,Salamander,1035539.198923808,649316.7331439861,План,0
2022-11-26,Ламода,Thomas Munz,2967619.295768987,1879345.33295113,План,0
2022-11-26,Ламода,ПТМ,344485.8934399692,210136.39499838123,План,0
2022-11-26,Ламода,Salamander,940985.4118585091,590028.435619916,План,0
2022-11-27,Ламода,Thomas Munz,2935547.726298475,1859034.9263936724,План,0
2022-11-27,Ламода,ПТМ,340762.97545017756,207865.4150246083,План,0
2022-11-27,Ламода,Salamander,930816.0215158242,583651.8973659894,План,0
2022-11-28,Ламода,Thomas Munz,2783435.6788412156,1762704.8253992437,План,0
2022-11-28,Ламода,ПТМ,323105.5708612514,197094.39822536334,План,0
2022-11-28,Ламода,Salamander,882583.6832811718,553408.6537234815,План,0
2022-11-29,Ламода,Thomas Munz,3804081.403158564,2409063.265421212,План,0
2022-11-29,Ламода,ПТМ,441583.7242849163,269366.0718137989,План,0
2022-11-29,Ламода,Salamander,1206214.3924586168,756335.62649917,План,0
2022-11-30,Ламода,Thomas Munz,3649145.5858679353,2310944.916633262,План,0
2022-11-30,Ламода,ПТМ,423598.5320733311,258395.104564732,План,0
2022-11-30,Ламода,Salamander,1157086.6812145507,725530.9548797954,План,0
2022-11-01,ОЗОН,Thomas Munz,406370.09987544327,247885.7716656495,План,0
2022-11-01,ОЗОН,Salamander,4917.0574464583315,3083.153071766728,План,0
2022-11-02,ОЗОН,Thomas Munz,380547.6580529613,232134.0814713678,План,0
2022-11-02,ОЗОН,Salamander,4604.6072197120975,2887.2367362639297,План,0
2022-11-03,ОЗОН,Thomas Munz,356960.1239672986,217745.6850556215,План,0
2022-11-03,ОЗОН,Salamander,4319.199262396717,2708.2767729351713,План,0
2022-11-04,ОЗОН,Thomas Munz,368680.8084223769,224895.3028830335,План,0
2022-11-04,ОЗОН,Salamander,4461.01894547649,2797.2022728475895,План,0
2022-11-05,ОЗОН,Thomas Munz,395043.4160917514,240976.4942581979,План,0
2022-11-05,ОЗОН,Salamander,4780.005151372272,2997.2168773682624,План,0
2022-11-06,ОЗОН,Thomas Munz,405552.3384091568,247386.93714959873,План,0
2022-11-06,ОЗОН,Salamander,4907.162574496878,3076.948668988259,План,0
2022-11-07,ОЗОН,Thomas Munz,397755.83068262564,242631.06723032874,План,0
2022-11-07,ОЗОН,Salamander,4812.825229340676,3017.7961212159817,План,0
2022-11-08,ОЗОН,Thomas Munz,437517.262261811,266885.54154465045,План,0
2022-11-08,ОЗОН,Salamander,5293.9365199799295,3319.468365184677,План,0
2022-11-09,ОЗОН,Thomas Munz,409715.60053879034,249926.52715872324,План,0
2022-11-09,ОЗОН,Salamander,4957.537833558377,3108.5355756713157,План,0
2022-11-10,ОЗОН,Thomas Munz,384320.146149234,234435.2993098128,План,0
2022-11-10,ОЗОН,Salamander,4650.254132935139,2915.8588181193413,План,0
2022-11-11,ОЗОН,Thomas Munz,793878.3783495444,484265.8317779035,План,0
